"","parl_id","syls","parly","gender","name","wikidataid","constituency","region","msp_type","office_held"
"697",4966,318168,"4th","M","Derek Mackay","Q1200058","Renfrewshire North and West","West Scotland","Constituency","The Minister for Transport and Islands"
"698",4976,169029,"4th","F","Ruth Davidson","Q2177593",NA,"Glasgow","Region",NA
"699",4984,110607,"4th","M","Cameron Buchanan","Q16107237",NA,"Lothian","Region","n/a"
"700",4984,110607,"4th","M","Cameron Buchanan","Q16107237",NA,"Lothian","Region","N/A"
"701",4984,110607,"4th","M","Cameron Buchanan","Q16107237",NA,"Lothian","Region","The Cabinet Secretary for Justice"
"702",4984,110607,"4th","M","Cameron Buchanan","Q16107237",NA,"Lothian","Region",NA
"703",5009,266754,"4th","M","Willie Rennie","Q2581473",NA,"Mid Scotland and Fife","Region",NA
"704",5034,272747,"4th","F","Jenny Marra","Q1687049",NA,"North East Scotland","Region",NA
"705",5035,12276,"4th","F","Lesley Brennan","Q22131946",NA,"North East Scotland","Region",NA
"706",5038,129314,"4th","F","Jayne Baxter","Q6167868",NA,"Mid Scotland and Fife","Region",NA
"707",5041,139991,"4th","F","Siobhan McMahon","Q1726790",NA,"Central Scotland","Region",NA
"708",5042,135007,"4th","M","Mark Griffin","Q1900077",NA,"Central Scotland","Region",NA
"709",5047,143886,"4th","F","Anne McTaggart","Q565600",NA,"Glasgow","Region",NA
"710",5054,264386,"4th","M","Neil Findlay","Q979197",NA,"Lothian","Region",NA
"711",5057,193121,"4th","M","Graeme Pearson","Q1541328",NA,"South Scotland","Region",NA
"712",5059,141908,"4th","F","Mary Fee","Q1906255",NA,"West Scotland","Region",NA
"713",5060,148636,"4th","M","Neil Bibby","Q1557330",NA,"West Scotland","Region",NA
"714",5074,96600,"4th","M","Gordon MacDonald","Q1538053","Edinburgh Pentlands","Lothian","Constituency",NA
"715",5075,81378,"4th","M","David Torrance ","Q1176878","Kirkcaldy","Mid Scotland and Fife","Constituency",NA
"716",5078,4170,"4th","M","Bill Walker","Q862635","Dunfermline","Mid Scotland and Fife","Constituency",NA
"717",5079,162134,"4th","M","Drew Smith","Q1258767",NA,"Glasgow","Region",NA
"718",5080,134583,"4th","F","Margaret McCulloch","Q1636293",NA,"Central Scotland","Region",NA
"719",5106,193520,"4th","M","Kevin Stewart","Q1740263","Aberdeen Central","North East Scotland","Constituency",NA
"720",5107,184882,"4th","M","Graeme Dey","Q1349075","Angus South","North East Scotland","Constituency",NA
"721",5108,280662,"4th","F","Margaret Burgess","Q289184","Cunninghame South","West Scotland","Constituency",NA
"722",5108,280662,"4th","F","Margaret Burgess","Q289184","Cunninghame South","West Scotland","Constituency","The Minister for Housing and Welfare"
"723",5109,169783,"4th","M","Marco Biagi","Q1893669","Edinburgh Central","Lothian","Constituency",NA
"724",5109,169783,"4th","M","Marco Biagi","Q1893669","Edinburgh Central","Lothian","Constituency","The Minister for Local Government and Community Empowerment"
"725",5110,282250,"4th","M","John Mason","Q1700987","Glasgow Shettleston","Glasgow","Constituency",NA
"726",5119,108509,"4th","M","Alex Rowley","Q16191157","Cowdenbeath","Mid Scotland and Fife","Constituency","n/a"
"727",5119,108509,"4th","M","Alex Rowley","Q16191157","Cowdenbeath","Mid Scotland and Fife","Constituency","The Minister for Learning, Science and Scotland‘s Languages"
"728",5119,108509,"4th","M","Alex Rowley","Q16191157","Cowdenbeath","Mid Scotland and Fife","Constituency",NA
"729",5556,112547,"4th","F","Cara Hilton","Q15101536","Dunfermline","Mid Scotland and Fife","Constituency",NA
"730",5556,112547,"4th","F","Cara Hilton","Q15101536","Dunfermline","Mid Scotland and Fife","Constituency","N/A"
"731",1735,270153,"5th","F","Angela Constance","Q524077","Almond Valley","Lothian","Constituency","The Cabinet Secretary for Education and Lifelong Learning"
"732",1735,270153,"5th","F","Angela Constance","Q524077","Almond Valley","Lothian","Constituency","The Cabinet Secretary for Communities, Social Security and Equalities"
"733",1735,270153,"5th","F","Angela Constance","Q524077","Almond Valley","Lothian","Constituency",NA
"734",1735,270153,"5th","F","Angela Constance","Q524077","Almond Valley","Lothian","Constituency","The Minister for Drug Policy"
"735",1735,270153,"5th","F","Angela Constance","Q524077","Almond Valley","Lothian","Constituency","The Minister for Drugs Policy"
"736",1742,215262,"5th","F","Annabelle Ewing","Q564093","Cowdenbeath","Mid Scotland and Fife","Constituency","The Minister for Youth and Women’s Employment"
"737",1742,215262,"5th","F","Annabelle Ewing","Q564093","Cowdenbeath","Mid Scotland and Fife","Constituency","The Minister for Community Safety and Legal Affairs"
"738",1742,215262,"5th","F","Annabelle Ewing","Q564093","Cowdenbeath","Mid Scotland and Fife","Constituency",NA
"739",1756,60660,"5th","F","Christine Grahame","Q467108","Midlothian South, Tweeddale and Lauderdale","South Scotland","Constituency",NA
"740",1756,60660,"5th","F","Christine Grahame","Q467108","Midlothian South, Tweeddale and Lauderdale","South Scotland","Constituency","The Deputy Presiding Officer"
"741",1759,198315,"5th","F","Claudia Beamish","Q1097337",NA,"South Scotland","Region",NA
