"","month","prop_ns"
"149",2014-01-01,0.00114109314272734
"150",2014-02-01,0.0195522319440609
"151",2014-03-01,0.00259780576381201
"152",2014-04-01,0.0214115512980351
"153",2014-05-01,0.0285543046612414
"154",2014-06-01,0.00372748313046489
"155",2014-08-01,0.00412941821681502
"156",2014-09-01,0.00347268855163945
"157",2014-10-01,0.00884281125964563
"158",2014-11-01,0.0386475205772556
"159",2014-12-01,0.03368460729288
"160",2015-01-01,0.0399164546235876
"161",2015-02-01,0.0265342510832552
"162",2015-03-01,0.0241199376392268
"163",2015-04-01,0.0303344625028526
"164",2015-05-01,0.0510469264369363
"165",2015-06-01,0.0247100484808656
"166",2015-09-01,0.0337639754463661
"167",2015-10-01,0.0378124461254014
"168",2015-11-01,0.0292445288464187
"169",2015-12-01,0.0301733538252504
"170",2016-01-01,0.0350369999138889
"171",2016-02-01,0.0336480442637376
"172",2016-03-01,0.0400273244700043
"173",2016-05-01,0.137143633324154
"174",2016-06-01,0.0752937613373464
"175",2016-09-01,0.0600231621846518
"176",2016-10-01,0.0352115139616399
"177",2016-11-01,0.0304869183145313
"178",2016-12-01,0.0959750519908225
"179",2017-01-01,0.0318890836360086
"180",2017-02-01,0.0370659581374972
"181",2017-03-01,0.0400776501782968
"182",2017-04-01,0.0399842311227331
"183",2017-05-01,0.0615876023305353
"184",2017-06-01,0.074411918799047
"185",2017-09-01,0.0562915273474707
"186",2017-10-01,0.0366784003067188
"187",2017-11-01,0.0372952223264467
"188",2017-12-01,0.0650405551450511
"189",2018-01-01,0.0311394036492232
"190",2018-02-01,0.0406012538314289
"191",2018-03-01,0.0483593961838916
"192",2018-04-01,0.0453468702846131
"193",2018-05-01,0.0401474033804418
"194",2018-06-01,0.0633072243533131
"195",2018-09-01,0.0541740458546927
"196",2018-10-01,0.0316159684890199
"197",2018-11-01,0.0450142079590547
"198",2018-12-01,0.0748014851129721
"199",2019-01-01,0.0452437582362384
"200",2019-02-01,0.0228768369313302
"201",2019-03-01,0.0358278838547578
"202",2019-04-01,0.0565462450887267
"203",2019-05-01,0.040214709215634
"204",2019-06-01,0.0483354255523743
"205",2019-09-01,0.0758505080797856
"206",2019-10-01,0.0307975814229442
"207",2019-11-01,0.0345290304941589
"208",2019-12-01,0.0766197024315017
"209",2020-01-01,0.0378717658578694
"210",2020-02-01,0.0294823095285998
"211",2020-03-01,0.0437895364667169
"212",2020-04-01,0.182119455106522
"213",2020-05-01,0.0755061689118122
"214",2020-06-01,0.0923521903200214
"215",2020-07-01,0.130745458766177
"216",2020-08-01,0.0798751722536434
"217",2020-09-01,0.115477320682158
"218",2020-10-01,0.214539954355245
"219",2020-11-01,0.11178211550045
"220",2020-12-01,0.120500521975443
"221",2021-01-01,0.19020336560366
"222",2021-02-01,0.211839551847764
